id,name,github_org_url,primary_repo_url,country,category,product_type,maturity,known_rationalization_event,contactability,key_metadata,flag,source_agent,status,screen_note
11,PostHog,https://github.com/PostHog,https://github.com/PostHog/posthog,UK,Startup,Product Analytics,Mature,"Yes — AI arch rebuilt twice (documented blog)",High,"YC W20; Series C; Tim Glaser (CTO) identifiable",,Agent D,ACTIVE,Kept: 43516 commits; 10256 refactor PRs; Agent E panel feasibility 5; multiple documented rationalization events; ideal treated unit
12,Cal.com,https://github.com/calcom,https://github.com/calcom/cal.com,USA,Startup,Scheduling,Growth,Partial — licensing shift 2025 + major scope expansion,High,"OSS Capital; Peer Richelsen (founder)",Flag: partial closed-source 2025,Agent D,ACTIVE,Kept with flag: 16438 commits; Agent E panel feasibility 4; partial event; licensing shift is an unusual rationalization type worth including; flag for careful interpretation
13,Chatwoot,https://github.com/chatwoot,https://github.com/chatwoot/chatwoot,"India/USA",Startup,Customer Support,Mature,Unknown,Medium,"YC W21; Ruby on Rails; India engineering",Flag: India ops,Agent D,ACTIVE,Kept with flag: YC W21; mature product; India ops adds geo diversity; unknown rationalization event — potential control unit; Ruby/Rails stack adds technology heterogeneity
14,Zed Industries,https://github.com/zed-industries,https://github.com/zed-industries/zed,USA,Startup,Code Editor,Growth,"Yes — full OSS transition Jan 2024 (entire codebase released)",High,"Sequoia Series B; Nathan Sobo (CEO)",Flag: pre-2024 history absent,Agent D,ACTIVE,Kept with flag: 38051 commits; Agent E panel feasibility 4 (2024-2025 only); OSS transition is unusual rationalization type; Sequoia-backed with high contactability; flag for truncated pre-period
15,Inngest,https://github.com/inngest,https://github.com/inngest/inngest,USA,Startup,Event Workflows,Growth,"Yes — v1.0 OSS engine rewrite (Go execution engine)",High,"YC W22; Tony Holdstock-Brown (CEO)",,Agent D,ACTIVE,Kept: 5893 commits; Agent E panel feasibility 3; confirmed OSS engine rewrite; YC-backed; smaller repo but good event signal
16,Hoppscotch,https://github.com/hoppscotch,https://github.com/hoppscotch/hoppscotch,India,Startup,API Dev Tools,Growth,Unknown,Medium,"OSS Capital; 75k+ stars; large community","Flag: India HQ; community-driven",Agent D,ACTIVE,Kept with flag: 75k stars signals large community; India HQ adds geo diversity; unknown event but potential control; medium contactability acceptable
18,Maybe Finance,https://github.com/maybe-finance,https://github.com/maybe-finance/maybe,USA,Startup,Personal Finance,Early,"Yes — original team dissolved + OSS revival 2023",Medium,"Wound down ~2022; OSS revival 2023; 45k+ stars",Flag: original team dissolved,Agent D,ACTIVE,Kept with flag: OSS revival is a unique rationalization type (full restart not incremental refactor); 45k stars signals traction; original team dissolution is a heterogeneous org event worth including; flag for discontinuous org history
21,mon-entreprise,https://github.com/betagouv,https://github.com/betagouv/mon-entreprise,France,Gov-tech,Tax Simulator,Mature,Partial — engine rewrites visible,Medium,"beta.gouv.fr; 8971 commits",Flag: gov-tech; different incentives,Agent D,ACTIVE,Kept with flag: 8971 commits; Agent E panel feasibility 3; gov-tech adds category heterogeneity; different incentive structure is itself a research variable; partial rationalization event visible
22,rdv-service-public,https://github.com/betagouv,https://github.com/betagouv/rdv-service-public,France,Gov-tech,Appointment Booking,Mature,Unknown,Medium,"beta.gouv.fr; 8420 commits; renamed 2023",Flag: gov-tech,Agent D,ACTIVE,Kept with flag: 8421 commits; Agent E panel feasibility 3; gov-tech category; rename in 2023 is a structural event; potential control or partial-treatment unit
23,ma-cantine,https://github.com/betagouv,https://github.com/betagouv/ma-cantine,France,Gov-tech,Canteen Compliance,Active,Unknown,Medium,"beta.gouv.fr; 11806 commits",Flag: gov-tech,Agent D,ACTIVE,Kept with flag: 11806 commits; Agent E panel feasibility 4; gov-tech category; 731 refactor PRs is non-trivial signal; potential partial treatment
25,Decidim,https://github.com/decidim,https://github.com/decidim/decidim,Spain,Civic-tech,Democracy Platform,Mature,Partial — modular engine refactor,Medium,"Barcelona City Council origin; Ruby/Rails","Flag: civic-tech; non-startup",Agent D,ACTIVE,Kept with flag: 7852 commits; Agent E panel feasibility 3; civic-tech adds category and institutional heterogeneity; Spain adds geo diversity; partial event; different incentives are a useful contrast
27,LedgerHQ (ledger-live),https://github.com/LedgerHQ,https://github.com/LedgerHQ/ledger-live,France,Startup,Crypto Wallet,Mature,"Yes — monorepo migration (multi-repo to turborepo)",Medium,"Series C; Charles Guillemet (CTO)",Flag: crypto domain,Agent D,ACTIVE,Kept with flag: 54230 commits; Agent E panel feasibility 5; confirmed monorepo migration event; France adds geo diversity; crypto domain is a flag but architectural rationalization is domain-agnostic
31,Dagger,https://github.com/dagger,https://github.com/dagger/dagger,USA,Company-backed OSS,CI/CD Engine,Growth,"Yes — Project Theseus rewrite (documented; Go SDK ground-up)",High,"Series B; Solomon Hykes (founder/CTO)",,Agent D,ACTIVE,Kept: 11257 commits; Agent E panel feasibility 5; Project Theseus is a named and documented rewrite; Solomon Hykes (Docker creator) is highly identifiable; near-ideal treated unit
32,Astral (ruff/uv),https://github.com/astral-sh,https://github.com/astral-sh/ruff,USA,Company-backed OSS,Python Tooling,Growth,"Yes — greenfield Rust rewrites of Python tools",High,"Accel-backed; OpenAI acquisition/partnership ~2025",Flag: OpenAI acquisition ~2025,Agent D,ACTIVE,Kept with flag: 15364 commits; Agent E panel feasibility 4; greenfield Rust rewrite is canonical rationalization; Accel-backed with identifiable team; OpenAI acquisition flag noted but does not disqualify for panel analysis
33,Weaviate,https://github.com/weaviate,https://github.com/weaviate/weaviate,Netherlands,Company-backed OSS,Vector Database,Growth,"Yes — storage layer rewrite + Python client v4 (gRPC)",High,"Series B (~$50M); Netherlands HQ",,Agent D,ACTIVE,Kept: 25821 commits; Agent E panel feasibility 4; confirmed storage rewrite + API migration; Netherlands adds geo diversity; high contactability
34,Milvus/Zilliz,https://github.com/milvus-io,https://github.com/milvus-io/milvus,"USA/China",Company-backed OSS,Vector Database,Mature,"Yes — v2.0 ground-up rebuild (Python to Go+Rust)",Medium,"CNCF-hosted; Zilliz commercial backer","Flag: CNCF governance; dual USA/China",Agent D,ACTIVE,Kept with flag: confirmed v2.0 rebuild; CNCF governance complicates causal interpretability but Zilliz is identifiable commercial decision-maker; China ops flag noted; medium contactability acceptable given strong event signal
35,Qdrant,https://github.com/qdrant,https://github.com/qdrant/qdrant,Germany,Startup,Vector Search,Growth,Partial — iterative Rust storage engine evolution,High,"Series A (~$28M); Andrey Vasnetsov (CTO)",,Agent D,ACTIVE,Kept: high contactability; Germany geo; identifiable CTO; iterative Rust evolution is a partial event worth including; vector search adds product-type diversity
36,Airbyte,https://github.com/airbytehq,https://github.com/airbytehq/airbyte,USA,Company-backed OSS,ETL/Data Integration,Mature,"Yes — Python CDK v2 migration (documented)",High,"Series B (~$150M); Michel Tricot (CEO/co-founder)",,Agent D,ACTIVE,Kept: 46659 commits; Agent E panel feasibility 4; confirmed CDK v2 migration; very high commit density; high contactability; near-ideal treated unit
37,Turso,https://github.com/tursodatabase,https://github.com/tursodatabase/libsql,USA,Startup,Edge SQLite,Growth,"Yes — ChiselStrike to Turso pivot + libSQL fork from SQLite",High,"Seed; Glauber Costa (CEO)",,Agent D,ACTIVE,Kept: confirmed company pivot + fork event; seed stage adds maturity heterogeneity; identifiable CEO; edge database adds product-type diversity
38,Appwrite,https://github.com/appwrite,https://github.com/appwrite/appwrite,Israel,Startup,Backend-as-a-Service,Growth,"Yes — v2.0 rewrite announced (new execution engine)",High,"Series A; Eldad Fux (CEO/founder)",Flag: Israel HQ,Agent D,ACTIVE,Kept with flag: 35346 commits; Agent E panel feasibility 4; confirmed v2.0 rewrite; Israel HQ adds geo diversity; high contactability with identifiable founder
39,Bun/oven-sh,https://github.com/oven-sh,https://github.com/oven-sh/bun,USA,Company-backed OSS,JavaScript Runtime,Growth,"Yes — ground-up Zig rewrite (by design; HN coverage)",Medium,"Oven Inc.; Jarred Sumner (CTO/founder)",Note: high-profile; identification concerns,Agent D,ACTIVE,Kept with note: ground-up Zig rewrite is canonical greenfield rationalization; high-profile makes identification easier; medium contactability; note that by-design rewrite may differ from reactive rationalization
40,pass-culture,https://github.com/pass-culture,https://github.com/pass-culture/pass-culture-main,France,Gov-tech,Cultural Access Platform,Mature,"Yes — major API and monolith refactor (documented PRs 2023-2024)",Medium,"French Ministry of Culture; GIP entity",Flag: quasi-public; non-startup incentives,Agent D,ACTIVE,Kept with flag: 49061 commits; Agent E panel feasibility 5; 9228 refactor PRs is extremely strong signal; quasi-public incentives are different but that is itself a research variable; France adds gov-tech category
