id,name,github_org_url,primary_repo_url,country,category,product_type,maturity,known_rationalization_event,contactability,key_metadata,flag,source_agent,status
17,OpenStatus,https://github.com/openstatushq,https://github.com/openstatushq/openstatus,France,Startup,Uptime Monitoring,Early,Unknown,Low,"Indie/bootstrapped; 2-person team","Flag: very small; low viability",Agent D,DISCARD
18,Maybe Finance,https://github.com/maybe-finance,https://github.com/maybe-finance/maybe,USA,Startup,Personal Finance,Early,"Yes — original team dissolved + OSS revival 2023",Medium,"Wound down ~2022; OSS revival 2023; 45k+ stars",Flag: original team dissolved,Agent D,ACTIVE
19,Papermark,https://github.com/papermark,https://github.com/papermark/papermark,"Germany/Remote",Startup,Document Sharing,Early,Unknown,Low,"Solo founder; small repo",Flag: solo founder,Agent D,DISCARD
20,Teable,https://github.com/teableio,https://github.com/teableio/teable,China,Startup,No-Code Database,Growth,Unknown,Low,"China HQ; 21k+ stars","Flag: China HQ; low outreach",Agent D,DISCARD
21,mon-entreprise,https://github.com/betagouv,https://github.com/betagouv/mon-entreprise,France,Gov-tech,Tax Simulator,Mature,Partial — engine rewrites visible,Medium,"beta.gouv.fr; 8971 commits",Flag: gov-tech; different incentives,Agent D,ACTIVE
22,rdv-service-public,https://github.com/betagouv,https://github.com/betagouv/rdv-service-public,France,Gov-tech,Appointment Booking,Mature,Unknown,Medium,"beta.gouv.fr; 8420 commits; renamed 2023",Flag: gov-tech,Agent D,ACTIVE
23,ma-cantine,https://github.com/betagouv,https://github.com/betagouv/ma-cantine,France,Gov-tech,Canteen Compliance,Active,Unknown,Medium,"beta.gouv.fr; 11806 commits",Flag: gov-tech,Agent D,ACTIVE
24,france-chaleur-urbaine,https://github.com/betagouv,https://github.com/betagouv/france-chaleur-urbaine,France,Gov-tech,District Heating,Active,Unknown,Medium,"beta.gouv.fr; 7106 commits","Flag: gov-tech; thin CI",Agent D,DISCARD
25,Decidim,https://github.com/decidim,https://github.com/decidim/decidim,Spain,Civic-tech,Democracy Platform,Mature,Partial — modular engine refactor,Medium,"Barcelona City Council origin; Ruby/Rails","Flag: civic-tech; non-startup",Agent D,ACTIVE
26,Contentful (forma-36),https://github.com/contentful,https://github.com/contentful/forma-36,Germany,Company-backed OSS,Design System,Mature startup,Partial — design system migration,Medium,"Series E; 297 PRs on component migration","Flag: large company; design system only",Agent D,DOWNGRADE
27,LedgerHQ (ledger-live),https://github.com/LedgerHQ,https://github.com/LedgerHQ/ledger-live,France,Startup,Crypto Wallet,Mature,"Yes — monorepo migration (multi-repo to turborepo)",Medium,"Series C; Charles Guillemet (CTO)",Flag: crypto domain,Agent D,ACTIVE
28,Qonto,https://github.com/qonto,https://github.com/qonto/qonto-api-documentation,France,Startup,B2B Banking,Growth,Unknown,Low,"Series D; core product is private","Flag: core repo private; limited OSS",Agent D,DISCARD
29,Monzo (response),https://github.com/monzo,https://github.com/monzo/response,UK,Company-backed OSS,Incident Management,Mature,Unknown,Medium,"UK neobank; OSS is side tooling only",Flag: OSS peripheral only,Agent D,DISCARD
30,GoCardless (statesman),https://github.com/gocardless,https://github.com/gocardless/statesman,UK,Company-backed OSS,State Machine Library,Mature,Unknown,Medium,"Series E; Ruby gem OSS'd from internal use",Flag: utility library only,Agent D,DISCARD
31,Dagger,https://github.com/dagger,https://github.com/dagger/dagger,USA,Company-backed OSS,CI/CD Engine,Growth,"Yes — Project Theseus rewrite (documented; Go SDK ground-up)",High,"Series B; Solomon Hykes (founder/CTO)",,Agent D,ACTIVE
32,Astral (ruff/uv),https://github.com/astral-sh,https://github.com/astral-sh/ruff,USA,Company-backed OSS,Python Tooling,Growth,"Yes — greenfield Rust rewrites of Python tools",High,"Accel-backed; OpenAI acquisition/partnership ~2025",Flag: OpenAI acquisition ~2025,Agent D,ACTIVE
33,Weaviate,https://github.com/weaviate,https://github.com/weaviate/weaviate,Netherlands,Company-backed OSS,Vector Database,Growth,"Yes — storage layer rewrite + Python client v4 (gRPC)",High,"Series B (~$50M); Netherlands HQ",,Agent D,ACTIVE
34,Milvus/Zilliz,https://github.com/milvus-io,https://github.com/milvus-io/milvus,"USA/China",Company-backed OSS,Vector Database,Mature,"Yes — v2.0 ground-up rebuild (Python to Go+Rust)",Medium,"CNCF-hosted; Zilliz commercial backer","Flag: CNCF governance; dual USA/China",Agent D,ACTIVE
35,Qdrant,https://github.com/qdrant,https://github.com/qdrant/qdrant,Germany,Startup,Vector Search,Growth,Partial — iterative Rust storage engine evolution,High,"Series A (~$28M); Andrey Vasnetsov (CTO)",,Agent D,ACTIVE
36,Airbyte,https://github.com/airbytehq,https://github.com/airbytehq/airbyte,USA,Company-backed OSS,ETL/Data Integration,Mature,"Yes — Python CDK v2 migration (documented)",High,"Series B (~$150M); Michel Tricot (CEO/co-founder)",,Agent D,ACTIVE
37,Turso,https://github.com/tursodatabase,https://github.com/tursodatabase/libsql,USA,Startup,Edge SQLite,Growth,"Yes — ChiselStrike to Turso pivot + libSQL fork from SQLite",High,"Seed; Glauber Costa (CEO)",,Agent D,ACTIVE
38,Appwrite,https://github.com/appwrite,https://github.com/appwrite/appwrite,Israel,Startup,Backend-as-a-Service,Growth,"Yes — v2.0 rewrite announced (new execution engine)",High,"Series A; Eldad Fux (CEO/founder)",Flag: Israel HQ,Agent D,ACTIVE
39,Bun/oven-sh,https://github.com/oven-sh,https://github.com/oven-sh/bun,USA,Company-backed OSS,JavaScript Runtime,Growth,"Yes — ground-up Zig rewrite (by design; HN coverage)",Medium,"Oven Inc.; Jarred Sumner (CTO/founder)",Note: high-profile; identification concerns,Agent D,ACTIVE
40,pass-culture,https://github.com/pass-culture,https://github.com/pass-culture/pass-culture-main,France,Gov-tech,Cultural Access Platform,Mature,"Yes — major API and monolith refactor (documented PRs 2023-2024)",Medium,"French Ministry of Culture; GIP entity",Flag: quasi-public; non-startup incentives,Agent D,ACTIVE
41,aden-hive,https://github.com/aden-hive,https://github.com/aden-hive/hive,Unknown,Unknown,Unknown,—,Unknown,Low,Repo created January 2026 outside 2023-2025 panel window,DISCARD: outside panel window,Agent D,DISCARD
42,Zalando OSS (postgres-operator),https://github.com/zalando,https://github.com/zalando/postgres-operator,Germany,Company-backed OSS,K8s DB Operator,Very Mature,Unknown,Low,"Large post-IPO e-commerce co.; peripheral OSS","Flag: large public company; not startup",Agent D,DISCARD
43,Allegro (hermes/bigcache),https://github.com/allegro,https://github.com/allegro/hermes,Poland,Company-backed OSS,Message Broker,Mature,Unknown,Low,Large post-IPO e-commerce platform,"Flag: large public company; not startup",Agent D,DISCARD
44,CloudWalk (Stratus),https://github.com/cloudwalk,https://github.com/cloudwalk/stratus,Brazil,Startup,EVM Ledger,Emerging,Unknown,Low,"165 stars; very early stage","Flag: crypto; too early",Agent D,DISCARD
45,Razorpay (Blade),https://github.com/razorpay,https://github.com/razorpay/blade,India,Company-backed OSS,Design System,Active,Partial — design system token migration,Medium,"$7.5B valuation; design system only","Flag: design system scope; large unicorn",Agent D,DOWNGRADE
46,Zerodha (dungbeetle),https://github.com/zerodha,https://github.com/zerodha/dungbeetle,India,Company-backed OSS,Trading Infrastructure,Mature,Unknown,Medium,"India's largest broker; OSS'd internal tooling",Flag: OSS is peripheral tooling,Agent D,DOWNGRADE
